values lengths
0 2709644
1 3
2 97
1 3
0 51580
1 100
0 35338
1 100
0 52545
1 100
0 31800
1 100
0 34429
1 100
0 13046
1 100
0 89780
1 100
0 1677
1 100
0 48442
1 100
0 2776
1 100
0 50194
1 100
0 27044
1 100
0 17587
1 100
0 19130
1 100
0 21923
1 100
0 135695
1 100
0 2346
1 100
0 6120
1 100
0 11617
1 100
0 86502
1 100
0 15732
1 100
0 17897
1 100
0 1202
1 100
0 19884
1 100
0 2756
1 100
0 65116
1 100
0 43283
1 100
0 126265
1 100
0 29638
1 100
0 225
1 100
0 1966
1 100
0 1149
1 100
0 403
1 100
0 259
1 100
0 468
1 100
0 110
1 100
0 572
1 100
0 329
1 100
0 554
1 100
0 6193
1 100
0 9176
1 100
0 187436
1 100
0 79274
1 100
0 24376
1 100
0 165219
1 100
0 34151
1 100
0 151398
1 100
0 79923
1 100
0 29649
1 100
0 3100
1 100
0 127606
1 100
0 52630
1 100
0 14736
1 100
0 11513
1 100
0 117591
1 100
0 175953
1 100
0 4749
1 100
0 36165
1 100
0 49602
1 100
0 12064
1 100
0 36844
1 100
0 39769
1 100
0 92128
1 100
0 54574
1 100
0 3075
1 100
0 39290
1 100
0 2199
1 100
0 274
1 100
0 2218
2 100
0 202892
1 100
0 60227
1 100
0 31886
1 100
0 206595
1 100
0 121566
1 100
0 371943
1 100
0 38540
1 100
0 770
1 100
0 1535
1 100
0 7093
1 3
2 97
1 3
0 10022
1 100
0 21640
1 100
0 2379
1 100
0 48560
1 100
0 128544
1 100
0 12413
1 100
0 63791
1 100
0 30230
1 100
0 23016
2 100
0 16538
1 100
0 20260
1 100
0 25431
1 100
0 16764
1 100
0 36857
1 100
0 23531
1 100
0 42350
1 100
0 32953
1 100
0 4587
1 100
0 11258
1 100
0 11224
2 100
0 1552
1 100
0 2849
1 100
0 6550
1 100
0 21389
1 100
0 7752
1 100
0 2301
1 100
0 35605
1 100
0 415
1 100
0 11272
1 100
0 39812
1 100
0 3257
1 100
0 96526
1 100
0 3196
1 100
0 373
1 1
5 5
6 94
5 1
1 5
0 626
1 100
0 5617
1 100
0 61021
1 100
0 23319
1 100
0 12414
1 100
0 25546
1 100
0 3505
1 100
0 21312
1 100
0 67262
1 100
0 90608
1 100
0 51040
1 100
0 33489
1 100
0 38243
1 100
0 60834
1 100
0 4544
1 100
0 75344
1 100
0 4896
1 100
0 2235
1 100
0 698
1 100
0 17392
1 100
0 5080
1 100
0 33024
1 100
0 18715
3 100
0 11029
1 100
0 5304
1 100
0 33645
1 100
0 26636
1 100
0 19599
1 100
0 45367
1 100
0 48806
1 100
0 12128
1 100
0 1453
1 100
0 25536
1 100
0 7000
1 100
0 46515
1 100
0 65535
1 100
0 19399
1 100
0 38721
1 100
0 4183
1 1
4 99
3 1
0 14700
1 100
0 16937
1 100
0 36822
1 100
0 158234
1 100
0 22702
1 100
0 30901
1 100
0 23647
1 100
0 117165
1 100
0 48280
1 100
0 3080
2 100
0 74387
1 100
0 30533
1 100
0 94666
1 100
0 52133
1 100
0 42321
1 100
0 758
1 100
0 59503
1 100
0 820180
1 100
0 2722
1 100
0 8075
1 100
0 45800
1 100
0 2702
1 100
0 6424
1 100
0 181280
1 100
0 118644
1 100
0 1151
1 100
0 32456
1 100
0 6976
2 100
0 51158
1 100
0 7032
1 100
0 40328
1 100
0 4382
1 100
0 2277
1 100
0 482
1 100
0 1454
1 100
0 873
1 100
0 501
1 100
0 10
1 100
0 716
1 100
0 643
1 2
3 98
2 2
0 461
1 100
0 402
1 100
0 239
1 100
0 52
1 100
0 623
1 100
0 3713
1 100
0 1005
1 100
0 481
1 100
0 304
1 100
0 142
1 100
0 335
1 100
0 2946
1 19
2 66
3 4
4 11
3 10
4 9
3 5
4 20
5 41
4 4
3 21
2 14
1 20
0 47
1 100
0 442
1 100
0 459
1 100
0 1391
1 100
0 2904
1 100
0 553
1 100
0 1015
1 100
0 84
1 100
0 1205
1 2
2 98
1 2
0 94
1 6
2 3
3 4
4 87
3 3
4 3
3 3
2 4
1 81
2 9
1 91
0 1510
1 55
2 45
1 55
0 676
1 100
0 1006
1 100
0 403
1 9
2 91
1 9
0 160
1 100
0 92
1 31
2 69
1 31
0 583
1 100
0 451
2 100
0 691
1 100
0 3502
1 100
0 1889
1 100
0 1887
1 89
2 11
1 18
3 71
2 29
0 575
1 100
0 85
1 87
2 13
1 87
0 70
1 100
0 369
1 100
0 55
1 100
0 95
1 22
2 78
1 22
0 820
1 100
0 39
2 29
4 71
2 29
0 2
1 2
2 50
3 48
2 2
1 6
2 3
3 41
2 56
1 3
0 651
1 100
0 45
1 100
0 994
1 100
0 243
1 100
0 36
1 100
0 46
1 100
0 433
1 100
0 20
1 100
0 10
1 100
0 444
1 12
2 56
3 32
2 12
1 6
2 50
1 13
2 37
1 4
2 59
1 41
0 658
1 100
0 4
1 70
2 30
1 70
0 300
2 100
0 519
1 80
2 20
1 80
0 457
1 75
2 25
1 75
0 1887
1 11
2 89
1 11
0 577
1 100
0 1446
1 11
2 24
3 6
4 59
3 11
2 24
1 6
0 3771
1 100
0 64
1 10
2 90
1 10
0 744
1 20
2 80
1 20
0 345
1 100
0 203
1 100
0 175
2 100
0 63
1 100
0 217
1 100
0 255
1 100
0 543
1 83
2 17
1 83
0 265
1 100
0 998
1 100
0 762
1 100
0 431
1 36
2 11
3 53
2 36
1 11
0 225
2 100
0 75
1 100
0 185
1 40
2 43
3 17
2 7
3 33
2 6
3 37
2 24
1 39
0 307
1 62
2 38
1 62
0 297
1 100
0 44
1 100
0 393
1 100
0 26
1 100
0 84
1 5
2 95
1 5
0 127
1 13
2 2
3 85
2 13
1 2
0 233
1 100
0 156
1 100
0 124
1 100
0 422
1 5
2 95
1 5
0 20
1 100
0 315
1 100
0 109
1 54
2 6
3 7
4 1
5 1
6 2
7 29
6 54
5 6
4 7
3 1
2 1
1 2
0 143
1 20
2 67
3 1
4 12
3 20
2 67
1 1
0 26
1 2
3 4
4 5
5 3
6 1
7 14
8 32
9 39
8 2
6 4
5 5
4 3
3 1
2 14
1 32
0 101
1 2
2 17
3 81
2 2
1 17
0 5
1 100
0 97
1 151
2 36
3 4
5 9
4 51
3 36
2 4
0 65
1 38
2 23
3 10
5 17
6 12
5 19
6 19
5 23
4 10
2 17
1 31
0 74
1 6
2 29
3 29
4 26
5 10
4 35
3 10
4 9
5 26
6 10
5 10
6 13
7 3
8 1
9 25
10 3
9 9
8 10
7 5
8 11
7 20
6 6
5 7
4 3
3 1
2 25
1 4
2 23
1 77
0 232
1 100
0 73
1 2
2 98
1 2
0 215
1 66
2 34
1 66
0 13
1 52
2 67
3 33
2 8
3 23
4 2
5 11
6 4
5 19
4 41
3 15
4 8
3 1
4 1
3 11
2 79
1 9
0 177
1 200
0 60
1 52
2 35
3 13
2 52
1 35
0 98
1 84
2 16
1 77
2 7
1 38
2 1
3 11
4 36
5 7
4 45
3 1
2 11
1 36
0 74
1 100
0 20
1 21
2 62
3 17
2 21
1 62
0 34
1 100
0 42
1 100
0 198
1 70
2 30
1 70
0 373
1 10
2 90
1 10
0 116
1 100
0 235
1 100
0 1422
1 7
2 93
1 7
0 776
1 100
0 304
1 100
0 166
1 2
2 67
3 15
4 16
3 2
2 67
1 15
0 92
1 100
0 247
1 7
2 100
1 93
0 1787
1 93
2 6
3 1
2 28
3 65
2 6
1 29
0 464
1 100
0 901
1 100
0 6373
2 69
3 31
1 69
0 434
1 3
2 97
1 3
0 887
1 67
2 33
1 67
0 165
1 100
0 194
1 100
0 194
1 100
0 401
1 76
2 24
1 76
0 275
1 100
0 181
1 100
0 29
1 100
0 47
1 100
0 24
1 8
2 33
3 59
2 8
1 33
0 146
1 100
0 118
1 100
0 76
1 100
0 61
1 52
2 48
1 52
0 106
1 1
2 2
3 17
4 80
3 1
2 2
1 17
0 58
1 14
2 26
3 2
4 58
3 14
2 17
3 6
4 3
3 2
2 68
3 1
4 20
3 6
2 73
1 1
0 34
1 2
2 27
3 32
4 1
5 1
6 37
5 2
4 27
3 13
4 19
3 1
2 1
1 55
2 24
1 76
0 110
1 100
0 41
1 55
2 31
3 14
2 55
1 31
0 32
1 73
2 27
1 73
0 184
1 100
0 798
1 100
0 462
1 100
0 143
1 100
0 18
1 2
2 12
3 86
2 2
1 11
2 1
1 99
0 134
1 30
2 14
3 56
2 30
1 14
0 8
1 84
2 2
3 14
2 48
3 19
4 17
3 2
2 60
3 21
2 79
1 2
0 1016
1 15
2 85
1 15
0 476
2 100
0 86
1 1
2 99
1 1
0 174
1 57
2 43
1 57
0 174
1 2
2 98
1 2
0 314
1 94
2 7
3 1
4 7
5 85
4 6
3 1
2 1
1 7
0 77
1 55
2 27
3 18
2 55
1 27
0 160
1 100
0 322
1 3
2 97
1 3
0 178
1 100
0 165
1 12
2 88
1 12
0 519
1 100
0 282
1 100
0 282
1 73
2 27
1 60
2 13
1 87
0 263
1 100
0 844
1 100
0 434
1 100
0 439
1 100
0 193
1 100
0 16
1 100
0 152
2 7
3 2
5 91
3 7
2 2
0 224
1 100
0 78
1 100
0 64
1 100
0 626
2 1
3 1
4 1
6 97
4 1
3 1
2 1
0 573
2 1
5 99
3 1
0 59
1 100
0 172
1 100
0 81
3 2
5 3
7 9
9 6
10 80
7 2
5 3
3 9
1 6
0 217
1 66
2 34
1 66
